fox_disco_tree1.nwk	OG49_foxD1_foxD1
fox_disco_tree2.nwk	OG44_foxD3_foxD3
fox_disco_tree3.nwk	OG37_foxD4_foxD4
fox_disco_tree4.nwk	OG33_foxB2_foxB2
fox_disco_tree5.nwk	OG41_hnf3g_hnf3g
fox_disco_tree6.nwk	OG42_hnf3a_hnf3a
fox_disco_tree7.nwk	OG35_hnf3b_hnf3b
fox_disco_tree8.nwk	OG48_foxI2_foxI2
fox_disco_tree9.nwk	OG23_foxI3_foxI3
fox_disco_tree10.nwk	OG22_foxL2_foxL2
fox_disco_tree11.nwk	OG39_foxC1_foxC1
fox_disco_tree12.nwk	OG32_foxS1_foxS1
fox_disco_tree13.nwk	OG24_foxL1_foxL1
fox_disco_tree14.nwk	OG17_foxL3_foxL3
fox_disco_tree15.nwk	OG40_foxC2_foxC2
fox_disco_tree16.nwk	OG20_foxF2_foxF2
fox_disco_tree17.nwk	OG7_foxQ1_foxQ1
fox_disco_tree18.nwk	OG5_foxH1_foxH1
fox_disco_tree19.nwk	OG10_foxO4_foxO4
fox_disco_tree20.nwk	OG9_foxO1_foxO1
fox_disco_tree21.nwk	OG6_foxO3-3B_foxO3/foxO3B
fox_disco_tree22.nwk	OG11_foxJ3_foxJ3
fox_disco_tree23.nwk	OG70_foxK1_foxK1
fox_disco_tree24.nwk	OG13_foxJ1_foxJ1
fox_disco_tree25.nwk	OG26_foxP2_foxP2
fox_disco_tree26.nwk	OG25_foxP4_foxP4
fox_disco_tree27.nwk	OG14_foxP3_foxP3
fox_disco_tree28.nwk	OG45_foxN3_foxN3
fox_disco_tree29.nwk	OG66_foxR1_foxR1
fox_disco_tree30.nwk	OG19_foxN1_foxN1
fox_disco_tree31.nwk	OG63_foxN2_foxN2
fox_disco_tree32.nwk	OG18_foxP1_foxP1
fox_disco_tree33.nwk	OG12_foxJ2_foxJ2
fox_disco_tree34.nwk	OG0_NA_NA,OG2_foxM1_foxM1,OG3_foxM1_foxM1,OG71_foxM1_foxM1,OG72_NA_NA
fox_disco_tree35.nwk	OG4_foxO6_foxO6
fox_disco_tree36.nwk	OG29_foxF1_foxF1
fox_disco_tree37.nwk	OG8_foxG1_foxG1
fox_disco_tree38.nwk	OG52_foxI1_foxI1
fox_disco_tree39.nwk	OG34_foxB1_foxB1
fox_disco_tree40.nwk	OG36_foxE3_foxE3
fox_disco_tree41.nwk	OG43_foxE1_foxE1
fox_disco_tree42.nwk	OG53_foxD2_foxD2
