GCF_943734735.2	Agam	Anopheles_gambiae
GCF_000001215.4	Dmel	Drosophila_melanogaster
GCF_004382195.2	Dsec	Drosophila_sechellia
GCF_003286155.1	Dere	Drosophila_erecta
GCF_013340165.1	Dsuz	Drosophila_suzukii
GCF_018152505.1	Dele	Drosophila_elegans
GCF_002093755.2	Dser	Drosophila_serrata
GCF_018152535.1	Dkik	Drosophila_kikkawai
GCF_018153845.1	Dbip	Drosophila_bipectinata
GCF_017639315.1	Dana	Drosophila_ananassae
GCF_009870125.1	Dpse	Drosophila_pseudoobscura
GCF_003369915.1	Dmir	Drosophila_miranda
GCF_018902025.1	Dwil	Drosophila_willistoni
GCF_001654025.1	Dari	Drosophila_arizonae
GCF_003285905.1	Dhyd	Drosophila_hydei
GCF_018153295.1	Dgri	Drosophila_grimshawi
GCF_009650485.2	Dalb	Drosophila_albomicans
GCF_011750605.1	Dbus	Drosophila_busckii
